title;subtitle;date;lat;long;organizer;cancelled;eurotrial;
Generalversammlung;Restaurant Grossteil, Giswil;18. Januar 2025;46.85072;08.16527;GWC-Schweiz;false;false;
Ligny-En-Barrois (FR);Osterweekend;18.- 20. April 2025;48.696748;5.330967;GWC Schweiz;false;false;
Reichenau, GR;1. FSG Lauf;17. Mai 2025, 09:00 Uhr;46.82478;09.41534;4x4 Aargau;false;false;
Reichenau, GR;1. GWC Lauf;18. Mai 2025, 09:00 Uhr;46.82478;09.41534;GWC-Schweiz;false;false;
Schinznach, AG;2. GWC Lauf;31. Mai 2025, 09:00 Uhr;47.45392;08.15464;GWC-Schweiz;false;false;
Seltz (FR);2. FSG Lauf;14. Juni 2025, 09:00 Uhr;48.92109;08.10683;4x4 Aargau;false;false;
Schinznach, AG;3. GWC Lauf;28. Juni 2025, 09:00 Uhr;47.45392;08.15464;4x4 Aargau;false;false;
Raisio (FI);Europameisterschaft;18. - 20. Juli 2025;60.516236;22.148715; ;false;true;
Rabius, GR;3. FSG Lauf;23. August 2025, 09:00 Uhr;46.72891;08.95539;GWC-Schweiz;false;false;
Rabius, GR;4. GWC Lauf;24. August 2025, 09:00 Uhr;46.72891;08.95539;GWC-Schweiz;false;false;
Drackenstein (DE);4. FSG Lauf;13. September 2025, 09:00 Uhr;48.55511;09.66647;4x4 Savièse;false;false;
Eisenberg (DE);5. FSG Lauf;04. Oktober 2025, 09:00 Uhr;49.56588;08.08025;GWC-Schweiz;false;false;
Reichenau, GR;6. FSG Lauf;25. Oktober 2024, 09:00 Uhr;46.82478;09.41534;GWC-Schweiz;false;false;
Chlausweekend;Standort noch nicht bekannt;Unbekannt;-;-;Daniel H. & Petra A.;false;false;
Generalversammlung;Standort noch nicht bekannt;17. Januar 2026;-;-;GWC-Schweiz;false;false;
